Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7352732434350603,0.5008375209380235,0.7994652406417112,0.615859938208033,0.8466997339120101
Decision Tree,0.7480482611781405,0.5182341650671785,0.7219251336898396,0.6033519553072626,0.8115360768813454
Random Forest,0.7735982966643009,0.5721784776902887,0.5828877005347594,0.5774834437086093,0.8248805187424113
Gradient Boosting,0.7750177430801988,0.5664335664335665,0.6497326203208557,0.6052303860523038,0.8396884445477795
XGBoost,0.772888573456352,0.5741758241758241,0.5588235294117647,0.5663956639566395,0.8275258983698881
LightGBM,0.7842441447835344,0.5961538461538461,0.5802139037433155,0.5880758807588076,0.832603528895089
XGBoost (Tuned),0.7828246983676366,0.5939226519337016,0.5748663101604278,0.5842391304347826,0.8288666718334238
